Delay    PID    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst 
0          0         60         25         28         51         78         80         41         78 
0          1         40         97        112         74         60          2        117         25 
4          2          5         66         58         22         50          4         58         49 
4          3         22         98         75         78        114        108         80         33 
4          4         27         33         82        110         95         56         26         55 
4          5         42         84          5        106         52         31        100        107 
2          6         83         53         91         21         60         30         56         34 
4          7        113         15         32        114         79         48         87         13 
1          8         62         24         20         68         96         86         97         94 
2          9         57         14        101        118        110         57        104         57 
2          10         80         89         79        101        114         81         73          8 
4          11         54         13        105         85         25         56         16         49 
3          12        116         63         99         26          8        105         29         53 
3          13         24        110        114         93         98        108         49         39 
1          14         39         11         27         19         77         33         51         49 
4          15         36         53         51        109         86        118        108         97 
1          16         76         68         86         40         20         17         27         38 
2          17          9        112         62        108         15        102         98         99 
4          18         19         78         67         60         58         97         17        115 
3          19         25         10        115        111         62         90         91         50 
2          20        112         62         75        119        111         22         82         47 
0          21         35         83         88         30        107        111         22          4 
3          22         60         77         82        103         60         15         92         95 
1          23         33         17         67         61         96         25         18        101 
0          24         54         72         48         14         56         40         11         74 
2          25         51         45         32         14         68         17         25         44 
0          26         80         76        117         83         93        114          9         83 
1          27          2        103         15         74          7         49         21          5 
2          28         11         81         68         30        102         70         93         30 
2          29         18         24         70         67         80          7         31         32 
3          30         82          7        109         67         59        101         65         48 
2          31         17         85         19        105         26         54         39         46 
2          32         31         96         65         76         78         69         15         95 
0          33         56          4         16         35         15        108         54        115 
2          34          2         56         69         77         30         76         13         74 
2          35         68         40         81         12         49         57         23         67 
3          36         18         74         28         48         50          9         58         80 
3          37        117        107         17         54         28          8         15         49 
1          38         72         17         91          3         59        107         80         80 
2          39        106         84         16        114          4        118        100         21 
1          40        107         34          4         54        115         99         79          8 
4          41        100         87          6         15         62         52         72         18 
0          42         74         84         80         17        116         92        101         33 
0          43          8        108         15         77         89         31         17         60 
1          44        104         49          6         35         49         68          6         78 
1          45         67         38         65         19         68         77        104         26 
2          46         56         64         28         72         47        105         45         34 
1          47        103          8         14         91         46        101         46         29 
1          48          3         28         38        111         17         86         81         53 
2          49         34         80         16         59         37         65        109         62 
4          50         52          2         96          6         38        119         24         71 
3          51         50         97         42         74        106         22         82         83 
0          52         76        102         18         59        117        117         10         93 
4          53        118         18         84        105         27          4         16          4 
1          54         19         76         66         68         24        110         23          6 
3          55         68         39         74          3         74         42         67         16 
2          56         14         67        119         82         28         74         88         84 
2          57         19         54         15        117          8          3         58          6 
2          58         33         71         19        104         62         23         45         69 
4          59         16         13         89         81         20         49          9        106 
2          60        111         93         88          6         99         71         69         48 
3          61         12         47         90         99          5         20         75         22 
3          62          6          5         67         28         75         16         16         55 
2          63         45         26          4         51          7        108         55         21 
3          64         42         41         36         49         43        107         52         92 
4          65         57         82         36         92         54          8         70         48 
4          66         76         58         42        106         84          6         21          6 
2          67         36         35         12         68        109        107         82         32 
1          68          7         45         44         91         42         59         46        100 
2          69         23         20         39         11         46         51         45        119 
3          70         66          3         12         74         18          8         77        115 
0          71        117         64         42         88         64         20         16         27 
4          72         31         68          9         63         33         90          3        110 
4          73        100          4         57         53         84         21         29         15 
1          74         15         44         42        100         24         83         14         73 
4          75         14         59         24         97        107          7         39         64 
0          76         98        112        111         73         41         28         34         43 
1          77         46         27         26        119        102         97        111         25 
3          78         85         34         22         82         10         17         53        112 
4          79        116         48        116         69        118         63         49         75 
3          80         69         86         44         21         49         26         37         85 
3          81         16        101        103         46         45         45          8         25 
2          82         91         14         50         30        118         39        108          6 
1          83        117         45        107         30        111         41         65         77 
2          84         27        102         69         86         73         73         67         74 
2          85        109         77         53        112         18         29         10         72 
4          86         41         98          8         39         39         55         29         94 
3          87         88         21        112         83         81         93         89         70 
2          88        102         81         78         35         16         27         23         28 
0          89        104        111        103        103         58         80         55         57 
0          90         16         26         50         89          2         56         32         62 
3          91        117         29        102         44         72         62        104          4 
0          92         28         45         63         11         61         78         95         85 
4          93        107        118        105         47         70         55        113         49 
4          94         53         74         65         83         78         56         12         94 
3          95         59         91         63        113         91         32        106        116 
1          96         89         30          3        116          6        113         22         27 
1          97         80        104         17        102         69         24         95        111 
2          98        112         99         93         11         20         64        100         67 
1          99         35         24         11         91        101         15          2        115 
1          100         32         68         79         22         51        100         21         12 
4          101         84        101        102        111         89         71         69         57 
3          102          6         82         20         72         80         40        115         80 
2          103         64          8          8         41         58         99         65         52 
1          104        114         51         22         46         84         82        103         30 
1          105        113          5         51         24          9         45          4         81 
1          106         44         17          8         75         71         74         11         81 
3          107         99         21         54         26         83         67          6         85 
1          108          9         95         45         85         63         27         64        116 
0          109         82         96         58         58        106         44         22         55 
1          110         79         63          2        110        111         17         43         96 
