Delay    PID    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst 
2          0         39        102         11         76         45         26         13         41        103          7         76         20        106         36         90         82 
0          1         37         13         88        119         20        102         40         68         67         17        103         66         75         72         19        100 
2          2         45          8         34         22         68          3         49         33         94         98         22        113         60         59         31         22 
4          3         60         12         10         76        108         31         68         83         58         81        119         13         49         45        102         22 
2          4         82         70        109         99        109        108         22         31          5         17         96         71         50         23         94        118 
2          5         61        102        108        100          5         44         65         26          8         72        118         38        108         21         66          3 
0          6         29         16         60         39         73         68          4         93        105         92         26        108         18        117         14         70 
0          7        114         14         94         22         43         40         46         85         93         52         30         74        116         28         62         96 
3          8          9         35        100         56         12          5        118         88         65         75         28        111          9         75          5         68 
3          9         38         80        112        102        103         19        103         95         89         58         27         35         62         24         15         48 
0          10         91          2         11          7         79         34         83          3         12         45         63         65         90         97        113        115 
0          11        113        106         85         13         96        118         37         90         99        111         90         83        112         45         81         95 
3          12         72         14         14         70         83        114         11         67        112         58         25         30        109         49         47        105 
3          13         75         92         11         73        100          8         28         74         99        108         41         61         73         71        118          4 
4          14        116        105        103         83         69         40         16         92         55         11         49         35         16         67         32         39 
0          15        104        111         62         63         88         99         37         78         77         89         53        107         59         97         59         27 
1          16         81         27        116         36         69          7        102         74         24         23         44         96        110         24         40        119 
4          17         36        105         99         63        117         11         93         57          5         90         17         13         43         46        105        101 
4          18        108         23         18         79         29        106         12         97         67         47        105         40         45         24         39         76 
3          19         79        104         54         13         16         94         94        108         18         55         39        114         19         80         27         89 
2          20        101         42         55         74         42         50         21         34         82         84         39         68         44         60         58        100 
1          21         96        114         65          4         30         56         39        115         57         17         64         68         28         34         58          5 
0          22         18         45         41         61         53          5         63         78         96         41         26         78         70         50         78         93 
0          23         80         64        103         99         81         64         99         90         34          2         66         89         10         88         54         85 
