Delay    PID    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst 
1          0         25         84          3         16         85         83         28         44         35 
2          1         61         57         13        112         68        102         56        100         47 
4          2         47         68         91         77         13         39         42         48         75 
0          3         81         87         26         24         57         80         24         89         90 
3          4         53         51         46         28         57         98        104         48          6 
1          5         50         87        112        117         47         36         45         41         91 
0          6         72         98         34         12        111        112         47         21         81 
3          7         56        106         15         67         13         40          8         48         89 
0          8         23         10         36         89        108         11        116        118          3 
1          9        118         74         38         20         36         27         81        108         35 
1          10         16         20         76        111        119          2         61         45         13 
3          11         90         30         70        118         48         99         18         34         77 
4          12        107        110         32         17         38         11        107        101         54 
1          13        118        106         82         67         52         20         26         84         34 
3          14         54         30         90         56         90         72         48         54         88 
3          15         70         64         88         16         59         25          6         59         57 
2          16         90         64         28         15         32         12         95         21         81 
2          17         14         20         84        101         38         58        113         21        118 
0          18         76         62          4         71         69         14         61         87         16 
1          19         24         50         80         35         49         26         45        108         69 
4          20         90        110         12        110         79         10         47        100         46 
4          21        104         14         81         86         60         40         68         27         70 
4          22        110         96         94          6         17          4         91         77         29 
2          23        100        116         16         63         45         20        110         79         31 
1          24         77         95        105         46         97         32         33        106        112 
3          25         25        109         33         44         72         38         67         75         77 
0          26         16         90         62         34        107         91          2         91        101 
1          27         79        103         48         97         61         91         63         69         19 
0          28         33         30          8         81         67         28        108         70         72 
1          29         13        114        112         21         32         96        119         46         20 
3          30         78         65         33        116         37         65         70         42         73 
3          31         50         48        118         88         40        103        118         85         52 
2          32         28         77         87         58         11         92         65         86         93 
2          33         52          3        107         37         40         41         28         22         27 
1          34         11         74          9          5         15        113         29        104         13 
2          35         20         84          7         39         85        119         65         27          3 
3          36        111         64         65        116         10         14         70        118         81 
0          37          5         48         57        101         40         65         32         56         86 
3          38         68         65         48         64        106         56         25         88         25 
2          39         18         79         68        113         27        105         66        117         53 
0          40         57         86         70        110         28         24         43         58        107 
2          41         68         73         29         54          4         78         68         85        102 
1          42         62         22          6         32         73         32         40         13         83 
2          43         53         58         83         54         11         47         56        108         29 
1          44         99        112         68         88         47         15         15         72        115 
1          45         81         91         32        117         70         42         55         85         31 
3          46         40         89        103         59        106          6         44         71        110 
4          47         30        100        116         92         16         87         33        100         81 
0          48         47         88         13         44         84        101         93         11         94 
4          49         68         79         44         50         83         82         57         16          7 
2          50         26         61         34         30         41         76        114         37        109 
0          51         84          6          9        113         40         78        107         43         47 
2          52         90         57        109         27         81        116         94        101         55 
4          53          6         19         30          3         78         31         36         81         18 
2          54         16         13         62         39        119         86        107         33         38 
3          55         88        101         38         14         17          9         39        115         35 
3          56         44         66         26         81        119        119          2         98          6 
3          57         48         61         94         66         30         94          5         69         59 
2          58         78         99        107         75        103         92         80         60        107 
1          59         36         64         50         98         42         49         52         62         78 
2          60         50         45         68         88         45         48         84          9         16 
1          61          8         78        115          8        116        117         19         18         26 
2          62         27         43         97         84        115         33         46          7         92 
3          63        112         74         99         13         46         60         92         95         44 
0          64        117         62         14        108        118         72         93         90         43 
1          65         68         64         29         64        105         17         29         83         97 
4          66        108         77          9         60         68         72         64        105         34 
4          67         83         35         93         83         39        101         87         69         79 
2          68         56         17        100         55         19         56          5        101         23 
1          69         52         12         21         36          8        110         32         20        104 
1          70        105         14         85         90         39         34         40         50         39 
1          71         72         32        113         78         93         74        106         84        113 
0          72         90         87         32         67         35        119        116         70         79 
4          73        114         59         97         27         90         50         35          8        103 
3          74         16         36         73         62         69         46         55        117         83 
0          75         49        113         30         17         95         85         70        109         49 
2          76         73         70        101        110         40         35         67          9         96 
4          77          3         73          9        102         38         17         70         78         17 
1          78          9         69         49         77         11         51         47         86         55 
4          79         28         95         38         11          7         77         86         51         62 
1          80         37         77        103        114         25         12         96         68          6 
3          81         50        117        110         24         77         94         84         69          4 
4          82         17         71         66         59        102        103        103         59         74 
4          83         33         50         64         29         33         30         76         73         94 
4          84         56         73         77         84        117         39         18         40         90 
4          85         30         80         70         80        118        109        108         19         99 
4          86         61         71         58        104        107         22        117         99         64 
4          87        109        104         82         46         63         33         55         25         26 
0          88         64         59         40        102         91         58         17          4         91 
2          89         65         79         63         65        105         78        119         23        115 
4          90         62         92         47         15          3         11          6         30        109 
3          91         70          6         81         18         95         63         14        102         35 
0          92         70        111         78         86         59        109         69         14         60 
0          93        113        117         31         98        102         42         72         11         68 
1          94         58         35        104        110         13         38          9         11         27 
0          95         53         16        106         62         16         12         22         13         70 
4          96         16          7         35          4         33         13         56         92          3 
1          97         37         58         26         44         27         80         23         48         54 
0          98        101         69         63         14         37         25         92        108        101 
0          99         79         75          3        103          6         84         12        101         36 
1          100         25         63        102         86         94         80         28         23         27 
