Delay    PID    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst 
4          0         14         97        104         55         72         28          2         37          6         11         37 
3          1         34         89         33         25         66         14        107         52         65         44         24 
1          2         44         17         16        108         12         36         71         37        115         91        119 
1          3        105        115        102         87         74         57         11         71         96         23         78 
3          4         50         83         25         61         32          5         88         84         95         99         26 
3          5         25        105         50         82        111         82         64         15         17          9         31 
2          6        119        104         24        110         39         16         35         53         24         43         73 
1          7          7         81         94         97        117         33         61          7         82         31         14 
3          8          6         57         58        100        116         92         62          9         89         64         26 
2          9         87         45         96         55         31         33         44         47        111         97         17 
0          10         70        106         82         45        100         92         49         13         12         28         86 
1          11         75         68         18        114         38        119         22         74         76         31         78 
3          12         22         85         18         23         48          9        118         91        105         94         30 
3          13         96         86        107         39         11         16         83        108         22        118         98 
0          14         14        115        109         74         23         68         85        103         39        117        111 
1          15         92         22         11         88        113         94        109         97         59         50         84 
2          16        115         51         55         65         13         89         82         80         89         53         61 
0          17         17         82         12         89         83         77         18         89        101         21         12 
3          18          9         80         45         99         97         52         55         33         68         99        102 
3          19        118          8        103        118         69         11         21         63         18          6         30 
0          20          7        112        112         57         92        105         31         86         46         78         15 
0          21         10         24         60        101        104          7          8         73         68         37         24 
1          22         60        106         30        102         41         87         34        106         24         61        107 
4          23         18         78         35         59         96         26         81          3         82         87         42 
4          24         54         76         30         91        108         98         34        109        118          6         65 
0          25         19         58         65         12         75         38         99        113         51         42         59 
3          26         19          5        119          6         14         87         46         73         23          3         75 
0          27        117          3         89         18         41          7        100         64         43         92         50 
3          28         44         99        108        113         62         64         24         33         73         36         21 
3          29          2         98         94         36         29        100         82         50         48         90         90 
2          30         28         18         87         92         48         32         56         83          5         64          3 
1          31         84        118         42          8         38         22         34        112         89         17         96 
1          32         35         67         74         18         43        109         92         40         63        107         75 
2          33        113         59         85         31         27         66         45         21         84         53         51 
0          34         39         75         78          8          3          9         16        119        116         29         15 
3          35        115         34         69         21         31         15         12         10         86         88         26 
4          36          9         77         45         89         16         58         70         61         88         42         29 
1          37         98         40         79         81         78         73         40         64         85         73         67 
0          38        111        117         45         82         65         27        110        117         13         44         87 
4          39          2        107          8        100         14         10         32         11         76         31         52 
4          40         38         51         12         61         23          5         24          6         11         49         24 
2          41         78         60         90         94         42         65         95         57         93          5         91 
0          42         17         10         25         67        101         37         97        103        101          2         55 
1          43         19         72         97        101          4         84         97         54         33         20        109 
1          44         82        114         26         48         38         74         27        101         62        108        112 
0          45         57        107        115         21         60         10         42         55         85         21         81 
2          46        107         51         39         61         52         83         55         64         50         34         87 
4          47         43         80         84         53         16         52         19          5         10         49         69 
3          48         71         98         75        105        107         60         19        100        111         67         22 
1          49          3         84         20         40         12         37         43         19         15         92         72 
4          50         55         11          4         44        110         60         91         90         56         27         34 
